model,split,n,cer,wer,der,der_n,der_insertion_rate,phantom,meta_path,timestamp
tesseract_eng,test,326,1.2035,1.5347,0.9847,319,0.0,n/a,tables/meta/tesseract_eng_test.json,2026-04-23T06:46:30.378670+00:00
tesseract_yor,test,326,1.2435,1.6366,0.8773,319,0.0,n/a,tables/meta/tesseract_yor_test.json,2026-04-23T06:48:02.943101+00:00
tesseract_eng+yor,test,326,1.2264,1.6003,0.9386,319,0.0,n/a,tables/meta/tesseract_eng+yor_test.json,2026-04-23T06:50:39.417549+00:00
qwen25_vl_zero_shot,test,326,2.5351,3.2945,1.1958,319,0.0714,n/a,tables/meta/qwen25_vl_zero_shot_test.json,2026-04-23T07:25:20.923296+00:00
paddleocr_vl15_zero_shot,test,326,1.0,1.0,1.0,319,0.0,n/a,tables/meta/paddleocr_vl15_zero_shot_test.json,2026-04-23T07:28:05.816586+00:00
baseline_english_pretrained,test,326,1.7448,1.0,0.8397,319,0.4841,true,tables/meta/baseline_english_pretrained_test.json,2026-04-23T07:37:51.258876+00:00
tesseract_eng,test,326,1.2035,1.5347,0.9847,319,0.0,n/a,tables/meta/tesseract_eng_test.json,2026-04-23T07:40:17.332754+00:00
tesseract_yor,test,326,1.2435,1.6366,0.8773,319,0.0,n/a,tables/meta/tesseract_yor_test.json,2026-04-23T07:41:48.262707+00:00
tesseract_eng+yor,test,326,1.2264,1.6003,0.9386,319,0.0,n/a,tables/meta/tesseract_eng+yor_test.json,2026-04-23T07:44:28.388703+00:00
paddleocr_vl15_zero_shot,test,326,5.433,8.4086,2.0091,319,0.0079,n/a,tables/meta/paddleocr_vl15_zero_shot_test.json,2026-04-23T11:22:44.915956+00:00
paddleocr_vl15_lora_finetuned,test,326,0.9654,1.2264,0.6644,319,0.1111,n/a,tables/meta/paddleocr_vl15_lora_finetuned_test.json,2026-04-23T17:32:28.943138+00:00
ablation_data_size_025pct_val,val,252,0.8884,1.0427,0.8949,251,0.2222,false,tables/meta/ablation_data_size_025pct_val_val.json,2026-04-23T18:01:49.789339+00:00
ablation_data_size_025pct_test,test,326,0.8969,1.0146,0.8867,319,0.0635,false,tables/meta/ablation_data_size_025pct_test_test.json,2026-04-23T18:05:02.067730+00:00
ablation_data_size_050pct_val,val,252,0.9126,1.0235,0.8819,251,0.1111,false,tables/meta/ablation_data_size_050pct_val_val.json,2026-04-23T18:43:31.557579+00:00
ablation_data_size_050pct_test,test,326,0.9157,1.0217,0.887,319,0.0873,false,tables/meta/ablation_data_size_050pct_test_test.json,2026-04-23T18:46:44.909877+00:00
ablation_data_size_075pct_val,val,252,0.9264,1.0274,0.9014,251,0.1111,false,tables/meta/ablation_data_size_075pct_val_val.json,2026-04-23T19:43:07.018512+00:00
ablation_data_size_075pct_test,test,326,0.9146,1.033,0.8876,319,0.0635,false,tables/meta/ablation_data_size_075pct_test_test.json,2026-04-23T19:46:23.973633+00:00
ablation_data_size_100pct_val,val,252,0.9271,1.0245,0.9362,251,0.1111,false,tables/meta/ablation_data_size_100pct_val_val.json,2026-04-23T21:01:35.944264+00:00
ablation_data_size_100pct_test,test,326,0.9154,1.0337,0.9178,319,0.0159,false,tables/meta/ablation_data_size_100pct_test_test.json,2026-04-23T21:04:57.153766+00:00
